name,name_aon,level,url_search,url_aon,match
Bardic Lore,Bardic Lore,1,https://2e.aonprd.com/Search.aspx?query=Bardic Lore,https://2e.aonprd.com/Feats.aspx?ID=179,True
Lingering Composition,,1,https://2e.aonprd.com/Search.aspx?query=Lingering Composition,https://2e.aonprd.com/Spells.aspx?ID=389,False
Reach Spell,Reach Spell,1,https://2e.aonprd.com/Search.aspx?query=Reach Spell,https://2e.aonprd.com/Feats.aspx?ID=181,True
Versatile Performance,Versatile Performance,1,https://2e.aonprd.com/Search.aspx?query=Versatile Performance,https://2e.aonprd.com/Feats.aspx?ID=182,True
Cantrip Expansion (Bard),Cantrip Expansion,2,https://2e.aonprd.com/Search.aspx?query=Cantrip Expansion,https://2e.aonprd.com/Feats.aspx?ID=183,True
Esoteric Polymath,Esoteric Polymath,2,https://2e.aonprd.com/Search.aspx?query=Esoteric Polymath,https://2e.aonprd.com/Feats.aspx?ID=184,True
Inspire Competence,Inspire Competence,2,https://2e.aonprd.com/Search.aspx?query=Inspire Competence,https://2e.aonprd.com/Feats.aspx?ID=185,True
Loremaster’s Etude,,-1,https://2e.aonprd.com/Search.aspx?query=Loremaster’s Etude,https://2e.aonprd.com/Search.aspx?query=Loremaster%u2019s+Etude,False
Multifarious Muse,Multifarious Muse,2,https://2e.aonprd.com/Search.aspx?query=Multifarious Muse,https://2e.aonprd.com/Feats.aspx?ID=187,True
Inspire Defense,,2,https://2e.aonprd.com/Search.aspx?query=Inspire Defense,https://2e.aonprd.com/Spells.aspx?ID=387,False
Melodious Spell,Melodious Spell,4,https://2e.aonprd.com/Search.aspx?query=Melodious Spell,https://2e.aonprd.com/Feats.aspx?ID=189,True
Triple Time,Triple Time,4,https://2e.aonprd.com/Search.aspx?query=Triple Time,https://2e.aonprd.com/Feats.aspx?ID=190,True
Versatile Signature,Versatile Signature,4,https://2e.aonprd.com/Search.aspx?query=Versatile Signature,https://2e.aonprd.com/Feats.aspx?ID=191,True
Dirge of Doom,Dirge of Doom,6,https://2e.aonprd.com/Search.aspx?query=Dirge of Doom,https://2e.aonprd.com/Feats.aspx?ID=192,True
Harmonize,Harmonize,6,https://2e.aonprd.com/Search.aspx?query=Harmonize,https://2e.aonprd.com/Feats.aspx?ID=193,True
Steady Spellcasting (Bard),Steady Spellcasting,6,https://2e.aonprd.com/Search.aspx?query=Steady Spellcasting,https://2e.aonprd.com/Feats.aspx?ID=194,True
Eclectic Skill,Eclectic Skill,8,https://2e.aonprd.com/Search.aspx?query=Eclectic Skill,https://2e.aonprd.com/Feats.aspx?ID=195,True
Inspire Heroics,,4,https://2e.aonprd.com/Search.aspx?query=Inspire Heroics,https://2e.aonprd.com/Spells.aspx?ID=388,False
Know-It-All,Know-It-All,8,https://2e.aonprd.com/Search.aspx?query=Know-It-All,https://2e.aonprd.com/Feats.aspx?ID=197,True
House of Imaginary Walls,House of Imaginary Walls,10,https://2e.aonprd.com/Search.aspx?query=House of Imaginary Walls,https://2e.aonprd.com/Feats.aspx?ID=198,True
Quickened Casting (Bard),Quickened Casting,10,https://2e.aonprd.com/Search.aspx?query=Quickened Casting,https://2e.aonprd.com/Feats.aspx?ID=199,True
Unusual Composition,Unusual Composition,10,https://2e.aonprd.com/Search.aspx?query=Unusual Composition,https://2e.aonprd.com/Feats.aspx?ID=200,True
Eclectic Polymath,Eclectic Polymath,12,https://2e.aonprd.com/Search.aspx?query=Eclectic Polymath,https://2e.aonprd.com/Feats.aspx?ID=201,True
Inspirational Focus,Inspirational Focus,12,https://2e.aonprd.com/Search.aspx?query=Inspirational Focus,https://2e.aonprd.com/Feats.aspx?ID=202,True
Allegro,Allegro,14,https://2e.aonprd.com/Search.aspx?query=Allegro,https://2e.aonprd.com/Feats.aspx?ID=203,True
Soothing Ballad,Soothing Ballad,14,https://2e.aonprd.com/Search.aspx?query=Soothing Ballad,https://2e.aonprd.com/Feats.aspx?ID=204,True
True Hypercognition,True Hypercognition,14,https://2e.aonprd.com/Search.aspx?query=True Hypercognition,https://2e.aonprd.com/Feats.aspx?ID=205,True
Effortless Concentration,Effortless Concentration,16,https://2e.aonprd.com/Search.aspx?query=Effortless Concentration,https://2e.aonprd.com/Feats.aspx?ID=206,True
Studious Capacity,Studious Capacity,16,https://2e.aonprd.com/Search.aspx?query=Studious Capacity,https://2e.aonprd.com/Feats.aspx?ID=207,True
Deep Lore,Deep Lore,18,https://2e.aonprd.com/Search.aspx?query=Deep Lore,https://2e.aonprd.com/Feats.aspx?ID=208,True
Eternal Composition,Eternal Composition,18,https://2e.aonprd.com/Search.aspx?query=Eternal Composition,https://2e.aonprd.com/Feats.aspx?ID=209,True
Impossible Polymath,Impossible Polymath,18,https://2e.aonprd.com/Search.aspx?query=Impossible Polymath,https://2e.aonprd.com/Feats.aspx?ID=210,True
Fatal Aria,Fatal Aria,20,https://2e.aonprd.com/Search.aspx?query=Fatal Aria,https://2e.aonprd.com/Feats.aspx?ID=211,True
Perfect Encore,Perfect Encore,20,https://2e.aonprd.com/Search.aspx?query=Perfect Encore,https://2e.aonprd.com/Feats.aspx?ID=212,True
Symphony of the Muse,Symphony of the Muses,20,https://2e.aonprd.com/Search.aspx?query=Symphony of the Muse,https://2e.aonprd.com/Feats.aspx?ID=213,False
Deity’s Domain,,-1,https://2e.aonprd.com/Search.aspx?query=Deity’s Domain,https://2e.aonprd.com/Search.aspx?query=Deity%u2019s+Domain,False
Ranged Reprisal,Ranged Reprisal,1,https://2e.aonprd.com/Search.aspx?query=Ranged Reprisal,https://2e.aonprd.com/Feats.aspx?ID=215,True
Unimpeded Step,Unimpeded Step,1,https://2e.aonprd.com/Search.aspx?query=Unimpeded Step,https://2e.aonprd.com/Feats.aspx?ID=216,True
Weight of Guilt,Weight of Guilt,1,https://2e.aonprd.com/Search.aspx?query=Weight of Guilt,https://2e.aonprd.com/Feats.aspx?ID=217,True
Divine Grace,Divine Grace,2,https://2e.aonprd.com/Search.aspx?query=Divine Grace,https://2e.aonprd.com/Feats.aspx?ID=218,True
Dragonslayer Oath,Dragonslayer Oath,2,https://2e.aonprd.com/Search.aspx?query=Dragonslayer Oath,https://2e.aonprd.com/Feats.aspx?ID=219,True
Fiendsbane Oath,Fiendsbane Oath,2,https://2e.aonprd.com/Search.aspx?query=Fiendsbane Oath,https://2e.aonprd.com/Feats.aspx?ID=220,True
Shining Oath,Shining Oath,2,https://2e.aonprd.com/Search.aspx?query=Shining Oath,https://2e.aonprd.com/Feats.aspx?ID=221,True
Vengeful Oath,Vengeful Oath,2,https://2e.aonprd.com/Search.aspx?query=Vengeful Oath,https://2e.aonprd.com/Feats.aspx?ID=222,True
Aura of Courage,Aura of Courage,4,https://2e.aonprd.com/Search.aspx?query=Aura of Courage,https://2e.aonprd.com/Feats.aspx?ID=223,True
Divine Health,Divine Health,4,https://2e.aonprd.com/Search.aspx?query=Divine Health,https://2e.aonprd.com/Feats.aspx?ID=224,True
Mercy,Mercy,4,https://2e.aonprd.com/Search.aspx?query=Mercy,https://2e.aonprd.com/Feats.aspx?ID=225,True
Attack of Opportunity,Attack of Opportunity,6,https://2e.aonprd.com/Search.aspx?query=Attack of Opportunity,https://2e.aonprd.com/Feats.aspx?ID=145,True
Litany Against Wrath,,3,https://2e.aonprd.com/Search.aspx?query=Litany Against Wrath,https://2e.aonprd.com/Spells.aspx?ID=397,False
Loyal Warhouse,Loyal Warhorse,6,https://2e.aonprd.com/Search.aspx?query=Loyal Warhouse,https://2e.aonprd.com/Feats.aspx?ID=228,False
Shield Warden (Champion),Shield Warden,6,https://2e.aonprd.com/Search.aspx?query=Shield Warden,https://2e.aonprd.com/Feats.aspx?ID=229,True
Smite Evil,Smite Evil,6,https://2e.aonprd.com/Search.aspx?query=Smite Evil,https://2e.aonprd.com/Feats.aspx?ID=230,True
Advanced Deity’s Domain,,-1,https://2e.aonprd.com/Search.aspx?query=Advanced Deity’s Domain,https://2e.aonprd.com/Search.aspx?query=Advanced+Deity%u2019s+Domain,False
Greater Mercy,Greater Mercy,8,https://2e.aonprd.com/Search.aspx?query=Greater Mercy,https://2e.aonprd.com/Feats.aspx?ID=232,True
Heal Mount,Heal Mount,8,https://2e.aonprd.com/Search.aspx?query=Heal Mount,https://2e.aonprd.com/Feats.aspx?ID=233,True
Quick Block,Quick Block,8,https://2e.aonprd.com/Search.aspx?query=Quick Block,https://2e.aonprd.com/Feats.aspx?ID=234,True
Second Ally,Second Ally,8,https://2e.aonprd.com/Search.aspx?query=Second Ally,https://2e.aonprd.com/Feats.aspx?ID=235,True
Sense Evil,Sense Evil,8,https://2e.aonprd.com/Search.aspx?query=Sense Evil,https://2e.aonprd.com/Feats.aspx?ID=236,True
Devoted Focus,Devoted Focus,10,https://2e.aonprd.com/Search.aspx?query=Devoted Focus,https://2e.aonprd.com/Feats.aspx?ID=237,True
Imposing Destrier,Imposing Destrier,10,https://2e.aonprd.com/Search.aspx?query=Imposing Destrier,https://2e.aonprd.com/Feats.aspx?ID=238,True
Litany Against Sloth,Litany Against Sloth,10,https://2e.aonprd.com/Search.aspx?query=Litany Against Sloth,https://2e.aonprd.com/Feats.aspx?ID=239,True
Radiant Blade Spirit,Radiant Blade Spirit,10,https://2e.aonprd.com/Search.aspx?query=Radiant Blade Spirit,https://2e.aonprd.com/Feats.aspx?ID=240,True
Shield of Reckoning,Shield of Reckoning,10,https://2e.aonprd.com/Search.aspx?query=Shield of Reckoning,https://2e.aonprd.com/Feats.aspx?ID=241,True
Affliction Mercy,Affliction Mercy,12,https://2e.aonprd.com/Search.aspx?query=Affliction Mercy,https://2e.aonprd.com/Feats.aspx?ID=242,True
Aura of Faith,Aura of Faith,12,https://2e.aonprd.com/Search.aspx?query=Aura of Faith,https://2e.aonprd.com/Feats.aspx?ID=243,True
Blade of Justice,Blade of Justice,12,https://2e.aonprd.com/Search.aspx?query=Blade of Justice,https://2e.aonprd.com/Feats.aspx?ID=244,True
Champion’s Sacrifice,,-1,https://2e.aonprd.com/Search.aspx?query=Champion’s Sacrifice,https://2e.aonprd.com/Search.aspx?query=Champion%u2019s+Sacrifice,False
Divine Wall,Divine Wall,12,https://2e.aonprd.com/Search.aspx?query=Divine Wall,https://2e.aonprd.com/Feats.aspx?ID=246,True
Lasting Doubt,Lasting Doubt,12,https://2e.aonprd.com/Search.aspx?query=Lasting Doubt,https://2e.aonprd.com/Feats.aspx?ID=247,True
Liberating Stride,Liberating Stride,12,https://2e.aonprd.com/Search.aspx?query=Liberating Stride,https://2e.aonprd.com/Feats.aspx?ID=248,True
Anchoring Aura,Anchoring Aura,14,https://2e.aonprd.com/Search.aspx?query=Anchoring Aura,https://2e.aonprd.com/Feats.aspx?ID=249,True
Aura of Life,Aura of Life,14,https://2e.aonprd.com/Search.aspx?query=Aura of Life,https://2e.aonprd.com/Feats.aspx?ID=250,True
Aura of Righteousness,Aura of Righteousness,14,https://2e.aonprd.com/Search.aspx?query=Aura of Righteousness,https://2e.aonprd.com/Feats.aspx?ID=251,True
Aura of Vengeance,Aura of Vengeance,14,https://2e.aonprd.com/Search.aspx?query=Aura of Vengeance,https://2e.aonprd.com/Feats.aspx?ID=252,True
Divine Reflexes,Divine Reflexes,14,https://2e.aonprd.com/Search.aspx?query=Divine Reflexes,https://2e.aonprd.com/Feats.aspx?ID=253,True
Litany of Righteousness,Litany of Righteousness,14,https://2e.aonprd.com/Search.aspx?query=Litany of Righteousness,https://2e.aonprd.com/Feats.aspx?ID=254,True
Wyrmbane Aura,Wyrmbane Aura,14,https://2e.aonprd.com/Search.aspx?query=Wyrmbane Aura,https://2e.aonprd.com/Feats.aspx?ID=255,True
Auspicious Mount,Auspicious Mount,16,https://2e.aonprd.com/Search.aspx?query=Auspicious Mount,https://2e.aonprd.com/Feats.aspx?ID=256,True
Instrument of Zeal,Instrument of Zeal,16,https://2e.aonprd.com/Search.aspx?query=Instrument of Zeal,https://2e.aonprd.com/Feats.aspx?ID=257,True
Shield of Grace,Shield of Grace,16,https://2e.aonprd.com/Search.aspx?query=Shield of Grace,https://2e.aonprd.com/Feats.aspx?ID=258,True
Celestial Form,Celestial Form,18,https://2e.aonprd.com/Search.aspx?query=Celestial Form,https://2e.aonprd.com/Feats.aspx?ID=259,True
Ultimate Mercy,Ultimate Mercy,18,https://2e.aonprd.com/Search.aspx?query=Ultimate Mercy,https://2e.aonprd.com/Feats.aspx?ID=260,True
Celestial Mount,Celestial Mount,20,https://2e.aonprd.com/Search.aspx?query=Celestial Mount,https://2e.aonprd.com/Feats.aspx?ID=261,True
Radiant Blade Master,Radiant Blade Master,20,https://2e.aonprd.com/Search.aspx?query=Radiant Blade Master,https://2e.aonprd.com/Feats.aspx?ID=262,True
Shield Paragon,Shield Paragon,20,https://2e.aonprd.com/Search.aspx?query=Shield Paragon,https://2e.aonprd.com/Feats.aspx?ID=263,True
Deadly Simplicity,Deadly Simplicity,1,https://2e.aonprd.com/Search.aspx?query=Deadly Simplicity,https://2e.aonprd.com/Feats.aspx?ID=264,True
Domain Initiate,Domain Initiate,1,https://2e.aonprd.com/Search.aspx?query=Domain Initiate,https://2e.aonprd.com/Feats.aspx?ID=265,True
Harming Hands,Harming Hands,1,https://2e.aonprd.com/Search.aspx?query=Harming Hands,https://2e.aonprd.com/Feats.aspx?ID=266,True
Healing Hands,Healing Hands,1,https://2e.aonprd.com/Search.aspx?query=Healing Hands,https://2e.aonprd.com/Feats.aspx?ID=267,True
Holy Castigation,Holy Castigation,1,https://2e.aonprd.com/Search.aspx?query=Holy Castigation,https://2e.aonprd.com/Feats.aspx?ID=268,True
Cantrip Expansion (Cleric),Cantrip Expansion,2,https://2e.aonprd.com/Search.aspx?query=Cantrip Expansion,https://2e.aonprd.com/Feats.aspx?ID=183,True
Communal Healing,Communal Healing,2,https://2e.aonprd.com/Search.aspx?query=Communal Healing,https://2e.aonprd.com/Feats.aspx?ID=271,True
Emblazon Armament,Emblazon Armament,2,https://2e.aonprd.com/Search.aspx?query=Emblazon Armament,https://2e.aonprd.com/Feats.aspx?ID=272,True
Sap Life,Sap Life,2,https://2e.aonprd.com/Search.aspx?query=Sap Life,https://2e.aonprd.com/Feats.aspx?ID=273,True
Turn Undead,Turn Undead,2,https://2e.aonprd.com/Search.aspx?query=Turn Undead,https://2e.aonprd.com/Feats.aspx?ID=274,True
Versatile Font,Versatile Font,2,https://2e.aonprd.com/Search.aspx?query=Versatile Font,https://2e.aonprd.com/Feats.aspx?ID=275,True
Channel Smite,Channel Smite,4,https://2e.aonprd.com/Search.aspx?query=Channel Smite,https://2e.aonprd.com/Feats.aspx?ID=276,True
Command Undead,Command Undead,4,https://2e.aonprd.com/Search.aspx?query=Command Undead,https://2e.aonprd.com/Feats.aspx?ID=277,True
Directed Channel,Directed Channel,4,https://2e.aonprd.com/Search.aspx?query=Directed Channel,https://2e.aonprd.com/Feats.aspx?ID=278,True
Improved Communal Healing,Improved Communal Healing,4,https://2e.aonprd.com/Search.aspx?query=Improved Communal Healing,https://2e.aonprd.com/Feats.aspx?ID=279,True
Necrotic Infusion,Necrotic Infusion,4,https://2e.aonprd.com/Search.aspx?query=Necrotic Infusion,https://2e.aonprd.com/Feats.aspx?ID=280,True
Cast Down,Cast Down,6,https://2e.aonprd.com/Search.aspx?query=Cast Down,https://2e.aonprd.com/Feats.aspx?ID=281,True
Divine Weapon,Divine Weapon,6,https://2e.aonprd.com/Search.aspx?query=Divine Weapon,https://2e.aonprd.com/Feats.aspx?ID=282,True
Selective Energy,Selective Energy,6,https://2e.aonprd.com/Search.aspx?query=Selective Energy,https://2e.aonprd.com/Feats.aspx?ID=283,True
Steady Spellcasting,Steady Spellcasting,6,https://2e.aonprd.com/Search.aspx?query=Steady Spellcasting,https://2e.aonprd.com/Feats.aspx?ID=194,True
Advanced Domain,Advanced Domain,8,https://2e.aonprd.com/Search.aspx?query=Advanced Domain,https://2e.aonprd.com/Feats.aspx?ID=285,True
Align Armament,Align Armament,8,https://2e.aonprd.com/Search.aspx?query=Align Armament,https://2e.aonprd.com/Feats.aspx?ID=286,True
Channeled Succor,Channeled Succor,8,https://2e.aonprd.com/Search.aspx?query=Channeled Succor,https://2e.aonprd.com/Feats.aspx?ID=287,True
Cremate Undead,Cremate Undead,8,https://2e.aonprd.com/Search.aspx?query=Cremate Undead,https://2e.aonprd.com/Feats.aspx?ID=288,True
Emblazon Energy,Emblazon Energy,8,https://2e.aonprd.com/Search.aspx?query=Emblazon Energy,https://2e.aonprd.com/Feats.aspx?ID=289,True
Castigating Weapon,Castigating Weapon,10,https://2e.aonprd.com/Search.aspx?query=Castigating Weapon,https://2e.aonprd.com/Feats.aspx?ID=290,True
Heroic Recovery,Heroic Recovery,10,https://2e.aonprd.com/Search.aspx?query=Heroic Recovery,https://2e.aonprd.com/Feats.aspx?ID=291,True
Improved Command Undead,Improved Command Undead,10,https://2e.aonprd.com/Search.aspx?query=Improved Command Undead,https://2e.aonprd.com/Feats.aspx?ID=292,True
Replenishment of War,Replenishment of War,10,https://2e.aonprd.com/Search.aspx?query=Replenishment of War,https://2e.aonprd.com/Feats.aspx?ID=293,True
Defensive Recovery,Defensive Recovery,12,https://2e.aonprd.com/Search.aspx?query=Defensive Recovery,https://2e.aonprd.com/Feats.aspx?ID=294,True
Domain Focus,Domain Focus,12,https://2e.aonprd.com/Search.aspx?query=Domain Focus,https://2e.aonprd.com/Feats.aspx?ID=295,True
Emblazon Antimagic,Emblazon Antimagic,12,https://2e.aonprd.com/Search.aspx?query=Emblazon Antimagic,https://2e.aonprd.com/Feats.aspx?ID=296,True
Shared Replenishment,Shared Replenishment,12,https://2e.aonprd.com/Search.aspx?query=Shared Replenishment,https://2e.aonprd.com/Feats.aspx?ID=297,True
Deity’s Protection,,-1,https://2e.aonprd.com/Search.aspx?query=Deity’s Protection,https://2e.aonprd.com/Search.aspx?query=Deity%u2019s+Protection,False
Extend Armament Alignment,Extend Armament Alignment,14,https://2e.aonprd.com/Search.aspx?query=Extend Armament Alignment,https://2e.aonprd.com/Feats.aspx?ID=299,True
Fast Channel,Fast Channel,14,https://2e.aonprd.com/Search.aspx?query=Fast Channel,https://2e.aonprd.com/Feats.aspx?ID=300,True
Swift Banishment,Swift Banishment,14,https://2e.aonprd.com/Search.aspx?query=Swift Banishment,https://2e.aonprd.com/Feats.aspx?ID=301,True
Eternal Bane,Eternal Bane,16,https://2e.aonprd.com/Search.aspx?query=Eternal Bane,https://2e.aonprd.com/Feats.aspx?ID=302,True
Eternal Blessing,Eternal Blessing,16,https://2e.aonprd.com/Search.aspx?query=Eternal Blessing,https://2e.aonprd.com/Feats.aspx?ID=303,True
Resurrectionist,Resurrectionist,16,https://2e.aonprd.com/Search.aspx?query=Resurrectionist,https://2e.aonprd.com/Feats.aspx?ID=304,True
Domain Wellspring,Domain Wellspring,18,https://2e.aonprd.com/Search.aspx?query=Domain Wellspring,https://2e.aonprd.com/Feats.aspx?ID=305,True
Echoing Channel,Echoing Channel,18,https://2e.aonprd.com/Search.aspx?query=Echoing Channel,https://2e.aonprd.com/Feats.aspx?ID=306,True
Improved Swift Banishment,Improved Swift Banishment,18,https://2e.aonprd.com/Search.aspx?query=Improved Swift Banishment,https://2e.aonprd.com/Feats.aspx?ID=307,True
Avatar’s Audience,,-1,https://2e.aonprd.com/Search.aspx?query=Avatar’s Audience,https://2e.aonprd.com/Search.aspx?query=Avatar%u2019s+Audience,False
Maker of Miracles,Maker of Miracles,20,https://2e.aonprd.com/Search.aspx?query=Maker of Miracles,https://2e.aonprd.com/Feats.aspx?ID=309,True
Metamagic Channel,Metamagic Channel,20,https://2e.aonprd.com/Search.aspx?query=Metamagic Channel,https://2e.aonprd.com/Feats.aspx?ID=310,True
Animal Companion (Druid),Animal Companion,1,https://2e.aonprd.com/Search.aspx?query=Animal Companion,https://2e.aonprd.com/Feats.aspx?ID=311,True
Leshy Familiar,Leshy Familiar,1,https://2e.aonprd.com/Search.aspx?query=Leshy Familiar,https://2e.aonprd.com/Feats.aspx?ID=312,True
Storm Born,Storm Born,1,https://2e.aonprd.com/Search.aspx?query=Storm Born,https://2e.aonprd.com/Feats.aspx?ID=314,True
Widen Spell,Widen Spell,1,https://2e.aonprd.com/Search.aspx?query=Widen Spell,https://2e.aonprd.com/Feats.aspx?ID=315,True
Wild Shape,Wild Shape,1,https://2e.aonprd.com/Search.aspx?query=Wild Shape,https://2e.aonprd.com/Feats.aspx?ID=316,True
Call of the Wild,Call of the Wild,2,https://2e.aonprd.com/Search.aspx?query=Call of the Wild,https://2e.aonprd.com/Feats.aspx?ID=317,True
Enhanced Familiar (Druid),Enhanced Familiar,2,https://2e.aonprd.com/Search.aspx?query=Enhanced Familiar,https://2e.aonprd.com/Feats.aspx?ID=318,True
Order Explorer,Order Explorer,2,https://2e.aonprd.com/Search.aspx?query=Order Explorer,https://2e.aonprd.com/Feats.aspx?ID=319,True
Poison Resistance (Druid),Poison Resistance,2,https://2e.aonprd.com/Search.aspx?query=Poison Resistance,https://2e.aonprd.com/Feats.aspx?ID=96,True
Form Control,Form Control,4,https://2e.aonprd.com/Search.aspx?query=Form Control,https://2e.aonprd.com/Feats.aspx?ID=321,True
Mature Animal Companion (Druid),Mature Animal Companion (Druid),4,https://2e.aonprd.com/Search.aspx?query=Mature Animal Companion,https://2e.aonprd.com/Feats.aspx?ID=322,False
Order Magic,Order Magic,4,https://2e.aonprd.com/Search.aspx?query=Order Magic,https://2e.aonprd.com/Feats.aspx?ID=323,True
Thousand Faces,Thousand Faces,4,https://2e.aonprd.com/Search.aspx?query=Thousand Faces,https://2e.aonprd.com/Feats.aspx?ID=324,True
Woodland Stride,Woodland Stride,4,https://2e.aonprd.com/Search.aspx?query=Woodland Stride,https://2e.aonprd.com/Feats.aspx?ID=325,True
Green Empathy,Green Empathy,6,https://2e.aonprd.com/Search.aspx?query=Green Empathy,https://2e.aonprd.com/Feats.aspx?ID=326,True
Insect Shape,Insect Shape,6,https://2e.aonprd.com/Search.aspx?query=Insect Shape,https://2e.aonprd.com/Feats.aspx?ID=327,True
Storm Retribution,Storm Retribution,6,https://2e.aonprd.com/Search.aspx?query=Storm Retribution,https://2e.aonprd.com/Feats.aspx?ID=329,True
Ferocious Shape,Ferocious Shape,8,https://2e.aonprd.com/Search.aspx?query=Ferocious Shape,https://2e.aonprd.com/Feats.aspx?ID=330,True
Fey Caller,Fey Caller,8,https://2e.aonprd.com/Search.aspx?query=Fey Caller,https://2e.aonprd.com/Feats.aspx?ID=331,True
Incredible Companion (Druid),Incredible Companion (Druid),8,https://2e.aonprd.com/Search.aspx?query=Incredible Companion,https://2e.aonprd.com/Feats.aspx?ID=332,False
Soaring Shape,Soaring Shape,8,https://2e.aonprd.com/Search.aspx?query=Soaring Shape,https://2e.aonprd.com/Feats.aspx?ID=333,True
Wind Caller,Wind Caller,8,https://2e.aonprd.com/Search.aspx?query=Wind Caller,https://2e.aonprd.com/Feats.aspx?ID=334,True
Elemental Shape,Elemental Shape,10,https://2e.aonprd.com/Search.aspx?query=Elemental Shape,https://2e.aonprd.com/Feats.aspx?ID=335,True
Healing Transformation,Healing Transformation,10,https://2e.aonprd.com/Search.aspx?query=Healing Transformation,https://2e.aonprd.com/Feats.aspx?ID=336,True
Overwhelming Energy (Druid),Overwhelming Energy,10,https://2e.aonprd.com/Search.aspx?query=Overwhelming Energy,https://2e.aonprd.com/Feats.aspx?ID=337,True
Plant Shape,Plant Shape,10,https://2e.aonprd.com/Search.aspx?query=Plant Shape,https://2e.aonprd.com/Feats.aspx?ID=338,True
Side by Side (Druid),Side by Side (Druid),10,https://2e.aonprd.com/Search.aspx?query=Side by Side,https://2e.aonprd.com/Feats.aspx?ID=339,False
Dragon Shape,Dragon Shape,12,https://2e.aonprd.com/Search.aspx?query=Dragon Shape,https://2e.aonprd.com/Feats.aspx?ID=340,True
Green Tongue,Green Tongue,12,https://2e.aonprd.com/Search.aspx?query=Green Tongue,https://2e.aonprd.com/Feats.aspx?ID=341,True
Primal Focus,Primal Focus,12,https://2e.aonprd.com/Search.aspx?query=Primal Focus,https://2e.aonprd.com/Feats.aspx?ID=342,True
Primal Summons,Primal Summons,12,https://2e.aonprd.com/Search.aspx?query=Primal Summons,https://2e.aonprd.com/Feats.aspx?ID=343,True
Specialized Companion (Druid),Specialized Companion (Druid),14,https://2e.aonprd.com/Search.aspx?query=Specialized Companion,https://2e.aonprd.com/Feats.aspx?ID=344,False
Timeless Nature,Timeless Nature,14,https://2e.aonprd.com/Search.aspx?query=Timeless Nature,https://2e.aonprd.com/Feats.aspx?ID=345,True
Verdant Metamorphosis,Verdant Metamorphosis,14,https://2e.aonprd.com/Search.aspx?query=Verdant Metamorphosis,https://2e.aonprd.com/Feats.aspx?ID=346,True
Impaling Briars,,8,https://2e.aonprd.com/Search.aspx?query=Impaling Briars,https://2e.aonprd.com/Spells.aspx?ID=475,False
Monstrosity Shape,Monstrosity Shape,16,https://2e.aonprd.com/Search.aspx?query=Monstrosity Shape,https://2e.aonprd.com/Feats.aspx?ID=349,True
Invoke Disaster,Invoke Disaster,18,https://2e.aonprd.com/Search.aspx?query=Invoke Disaster,https://2e.aonprd.com/Feats.aspx?ID=350,True
Perfect Form Control,Perfect Form Control,18,https://2e.aonprd.com/Search.aspx?query=Perfect Form Control,https://2e.aonprd.com/Feats.aspx?ID=351,True
Primal Wellspring,Primal Wellspring,18,https://2e.aonprd.com/Search.aspx?query=Primal Wellspring,https://2e.aonprd.com/Feats.aspx?ID=352,True
Hierophant’s Power,,-1,https://2e.aonprd.com/Search.aspx?query=Hierophant’s Power,https://2e.aonprd.com/Search.aspx?query=Hierophant%u2019s+Power,False
Leyline Conduit,Leyline Conduit,20,https://2e.aonprd.com/Search.aspx?query=Leyline Conduit,https://2e.aonprd.com/Feats.aspx?ID=354,True
True Shapeshifter,True Shapeshifter,20,https://2e.aonprd.com/Search.aspx?query=True Shapeshifter,https://2e.aonprd.com/Feats.aspx?ID=355,True
Double Slice,Double Slice,1,https://2e.aonprd.com/Search.aspx?query=Double Slice,https://2e.aonprd.com/Feats.aspx?ID=356,True
Exacting Strike,Exacting Strike,1,https://2e.aonprd.com/Search.aspx?query=Exacting Strike,https://2e.aonprd.com/Feats.aspx?ID=357,True
Point-Blank Shot,Point-Blank Shot,1,https://2e.aonprd.com/Search.aspx?query=Point-Blank Shot,https://2e.aonprd.com/Feats.aspx?ID=358,True
Power Attack,Power Attack,1,https://2e.aonprd.com/Search.aspx?query=Power Attack,https://2e.aonprd.com/Feats.aspx?ID=359,True
Reactive Shield,Reactive Shield,1,https://2e.aonprd.com/Search.aspx?query=Reactive Shield,https://2e.aonprd.com/Feats.aspx?ID=360,True
Snagging Strike,Snagging Strike,1,https://2e.aonprd.com/Search.aspx?query=Snagging Strike,https://2e.aonprd.com/Feats.aspx?ID=361,True
Aggressive Block,Aggressive Block,2,https://2e.aonprd.com/Search.aspx?query=Aggressive Block,https://2e.aonprd.com/Feats.aspx?ID=363,True
Assisting Shot,Assisting Shot,2,https://2e.aonprd.com/Search.aspx?query=Assisting Shot,https://2e.aonprd.com/Feats.aspx?ID=364,True
Brutish Shove,Brutish Shove,2,https://2e.aonprd.com/Search.aspx?query=Brutish Shove,https://2e.aonprd.com/Feats.aspx?ID=365,True
Combat Grab,Combat Grab,2,https://2e.aonprd.com/Search.aspx?query=Combat Grab,https://2e.aonprd.com/Feats.aspx?ID=366,True
Dueling Parry,Dueling Parry,2,https://2e.aonprd.com/Search.aspx?query=Dueling Parry,https://2e.aonprd.com/Feats.aspx?ID=367,True
Intimidating Strike,Intimidating Strike,2,https://2e.aonprd.com/Search.aspx?query=Intimidating Strike,https://2e.aonprd.com/Feats.aspx?ID=368,True
